136 5
k mu power error
1.57499e-01 6.98766e-01 9.86450e+03 9.40964e+01
1.62510e-01 7.00265e-01 9.34367e+03 8.99812e+01
1.67374e-01 7.00671e-01 9.02852e+03 8.27139e+01
1.72582e-01 6.97412e-01 8.61440e+03 7.62461e+01
1.77628e-01 7.01630e-01 8.24272e+03 7.38782e+01
1.82569e-01 7.03246e-01 8.09870e+03 7.01364e+01
1.87545e-01 6.97437e-01 7.60423e+03 6.55367e+01
1.92572e-01 7.00693e-01 7.30248e+03 6.06806e+01
1.97510e-01 7.00120e-01 7.00439e+03 5.95652e+01
2.02507e-01 6.98272e-01 6.77155e+03 5.44596e+01
2.07552e-01 7.01845e-01 6.42773e+03 5.27101e+01
2.12480e-01 7.00142e-01 6.21037e+03 4.89981e+01
2.17630e-01 6.98785e-01 5.93801e+03 4.63628e+01
2.22595e-01 7.00173e-01 5.68013e+03 4.47825e+01
2.27551e-01 7.00597e-01 5.50069e+03 4.22148e+01
2.32523e-01 6.98458e-01 5.17602e+03 4.01486e+01
2.37478e-01 7.01098e-01 5.10720e+03 3.83504e+01
2.42465e-01 6.99082e-01 4.92903e+03 3.70085e+01
2.47542e-01 6.99162e-01 4.69546e+03 3.44968e+01
2.52504e-01 7.02159e-01 4.56195e+03 3.42559e+01
2.57447e-01 6.99450e-01 4.40968e+03 3.18457e+01
2.62581e-01 6.99636e-01 4.23441e+03 3.05124e+01
2.67549e-01 7.00738e-01 4.08064e+03 2.98650e+01
2.72485e-01 6.99955e-01 3.94138e+03 2.84124e+01
2.77522e-01 6.99085e-01 3.79042e+03 2.70061e+01
2.82525e-01 7.01213e-01 3.66931e+03 2.61833e+01
2.87459e-01 6.99162e-01 3.56405e+03 2.55438e+01
2.92475e-01 7.00237e-01 3.43290e+03 2.40405e+01
2.97509e-01 7.00902e-01 3.34114e+03 2.35064e+01
3.02493e-01 6.99989e-01 3.16603e+03 2.23702e+01
3.07552e-01 6.99722e-01 3.13078e+03 2.17961e+01
3.12516e-01 6.99616e-01 3.00310e+03 2.11894e+01
3.17512e-01 6.99758e-01 2.90730e+03 2.02739e+01
3.22493e-01 6.99467e-01 2.81824e+03 1.98607e+01
3.27462e-01 7.00063e-01 2.69743e+03 1.87780e+01
3.32481e-01 6.99525e-01 2.61397e+03 1.84478e+01
3.37490e-01 7.00635e-01 2.56190e+03 1.78190e+01
3.42520e-01 7.00980e-01 2.49355e+03 1.73281e+01
3.47547e-01 6.99068e-01 2.40126e+03 1.67198e+01
3.52568e-01 7.00602e-01 2.35242e+03 1.64553e+01
3.57503e-01 7.00001e-01 2.24226e+03 1.57995e+01
3.62558e-01 6.99508e-01 2.19279e+03 1.52397e+01
3.67524e-01 7.00238e-01 2.13780e+03 1.52622e+01
3.72447e-01 7.00306e-01 2.10485e+03 1.45840e+01
3.77497e-01 6.99375e-01 2.00105e+03 1.41487e+01
3.82542e-01 7.00388e-01 1.92672e+03 1.36598e+01
3.87557e-01 7.00703e-01 1.91325e+03 1.35701e+01
3.92563e-01 6.99413e-01 1.85830e+03 1.31132e+01
3.97570e-01 7.00078e-01 1.76657e+03 1.28231e+01
4.02472e-01 6.99962e-01 1.71530e+03 1.25149e+01
4.07481e-01 6.99196e-01 1.68432e+03 1.21240e+01
4.12489e-01 7.00752e-01 1.64342e+03 1.19266e+01
4.17496e-01 7.00597e-01 1.59503e+03 1.15749e+01
4.22499e-01 6.99335e-01 1.56508e+03 1.14617e+01
4.27512e-01 7.00814e-01 1.50059e+03 1.09851e+01
4.32521e-01 7.00529e-01 1.44739e+03 1.08425e+01
4.37540e-01 6.99124e-01 1.40726e+03 1.04749e+01
4.42527e-01 7.00811e-01 1.37586e+03 1.04705e+01
4.47446e-01 6.99173e-01 1.32732e+03 1.00933e+01
4.52500e-01 6.99808e-01 1.30432e+03 9.88768e+00
4.57495e-01 7.01032e-01 1.28029e+03 9.78588e+00
4.62507e-01 6.99833e-01 1.23525e+03 9.47248e+00
4.67505e-01 6.99918e-01 1.20191e+03 9.41345e+00
4.72486e-01 7.00565e-01 1.16115e+03 9.10457e+00
4.77513e-01 7.00205e-01 1.12185e+03 8.92109e+00
4.82554e-01 6.99269e-01 1.10097e+03 8.75681e+00
4.87537e-01 7.00503e-01 1.05161e+03 8.63417e+00
4.92484e-01 6.99768e-01 1.03341e+03 8.46862e+00
4.97522e-01 6.99810e-01 1.00081e+03 8.23983e+00
5.02520e-01 7.00864e-01 9.70410e+02 8.14479e+00
5.07511e-01 6.99786e-01 9.56657e+02 8.01683e+00
5.12518e-01 6.99493e-01 9.25100e+02 7.85121e+00
5.17516e-01 7.00380e-01 9.05834e+02 7.74353e+00
5.22496e-01 6.99828e-01 8.79755e+02 7.62705e+00
5.27527e-01 6.99966e-01 8.60056e+02 7.43151e+00
5.32519e-01 6.99998e-01 8.30076e+02 7.39072e+00
5.37493e-01 7.00074e-01 8.10301e+02 7.21525e+00
5.42523e-01 7.00127e-01 7.79637e+02 7.10150e+00
5.47483e-01 7.00590e-01 7.66502e+02 7.02171e+00
5.52508e-01 6.99739e-01 7.34399e+02 6.81887e+00
5.57517e-01 7.00106e-01 7.31403e+02 6.83621e+00
5.62493e-01 7.00252e-01 7.06980e+02 6.66783e+00
5.67498e-01 6.99424e-01 6.77622e+02 6.57550e+00
5.72508e-01 6.99928e-01 6.68095e+02 6.46468e+00
5.77496e-01 7.00172e-01 6.46658e+02 6.40494e+00
5.82509e-01 6.99611e-01 6.30591e+02 6.25382e+00
5.87539e-01 7.00201e-01 6.03288e+02 6.20379e+00
5.92491e-01 7.00580e-01 6.03132e+02 6.15671e+00
5.97529e-01 6.99422e-01 5.76941e+02 5.97082e+00
6.02537e-01 7.00365e-01 5.68241e+02 6.00294e+00
6.07491e-01 7.00033e-01 5.46548e+02 5.86846e+00
6.12500e-01 6.99156e-01 5.29705e+02 5.78055e+00
6.17514e-01 7.00743e-01 5.23274e+02 5.71266e+00
6.22505e-01 7.00005e-01 5.03079e+02 5.65185e+00
6.27527e-01 6.99676e-01 4.86338e+02 5.53035e+00
6.32553e-01 7.00284e-01 4.73495e+02 5.50582e+00
6.37512e-01 7.00195e-01 4.53905e+02 5.42777e+00
6.42518e-01 6.99510e-01 4.57064e+02 5.36682e+00
6.47484e-01 7.00275e-01 4.37587e+02 5.33012e+00
6.52474e-01 7.00020e-01 4.26407e+02 5.20814e+00
6.57490e-01 6.99356e-01 4.10335e+02 5.17738e+00
6.62494e-01 7.00852e-01 4.09285e+02 5.10881e+00
6.67522e-01 6.99850e-01 3.94947e+02 5.04644e+00
6.72548e-01 6.99591e-01 3.84012e+02 4.99304e+00
6.77528e-01 7.00834e-01 3.74008e+02 4.98144e+00
6.82498e-01 6.99723e-01 3.60239e+02 4.87363e+00
6.87541e-01 6.99586e-01 3.58540e+02 4.83229e+00
6.92500e-01 7.00327e-01 3.45056e+02 4.83034e+00
6.97485e-01 6.99572e-01 3.38984e+02 4.71892e+00
2.28411e-02 8.97924e-01 9.39116e+04 4.75455e+03
2.77692e-02 8.95368e-01 8.63991e+04 4.18418e+03
3.28804e-02 8.91237e-01 7.65677e+04 2.70723e+03
3.80791e-02 8.92936e-01 6.41294e+04 2.13487e+03
4.26880e-02 9.03484e-01 5.93170e+04 1.90342e+03
4.74235e-02 8.99948e-01 5.41246e+04 1.44408e+03
5.22870e-02 8.98336e-01 4.79795e+04 1.20682e+03
5.73996e-02 9.01329e-01 4.45674e+04 9.63961e+02
6.24666e-02 8.98938e-01 4.21433e+04 8.77876e+02
6.75201e-02 9.00738e-01 3.94194e+04 7.42063e+02
7.25941e-02 8.99434e-01 3.66388e+04 6.63973e+02
7.76882e-02 8.98941e-01 3.44911e+04 5.76233e+02
8.26261e-02 8.99008e-01 3.07895e+04 4.99192e+02
8.75990e-02 9.01238e-01 2.77294e+04 4.15284e+02
9.26501e-02 9.00903e-01 2.49512e+04 3.68610e+02
9.75036e-02 9.01591e-01 2.27450e+04 3.19618e+02
1.02506e-01 8.97332e-01 2.14306e+04 2.80774e+02
1.07467e-01 9.01717e-01 2.03273e+04 2.62858e+02
1.12453e-01 8.99117e-01 1.89636e+04 2.29281e+02
1.17564e-01 9.00088e-01 1.84736e+04 2.14776e+02
1.22598e-01 8.98733e-01 1.75711e+04 2.01240e+02
1.27505e-01 9.02838e-01 1.62610e+04 1.79106e+02
1.32512e-01 8.98839e-01 1.56872e+04 1.66075e+02
1.37523e-01 9.00645e-01 1.45307e+04 1.51386e+02
1.42517e-01 9.00221e-01 1.39566e+04 1.40282e+02
1.47498e-01 8.98320e-01 1.30015e+04 1.27975e+02
1.52488e-01 8.98211e-01 1.23818e+04 1.18111e+02
1.57461e-01 9.00893e-01 1.17761e+04 1.10223e+02
1.62526e-01 8.99873e-01 1.09593e+04 9.96981e+01
1.67613e-01 8.99999e-01 1.05319e+04 9.36077e+01
1.72583e-01 9.01475e-01 1.00546e+04 8.89310e+01
1.77524e-01 9.00892e-01 9.72000e+03 8.38257e+01
1.82519e-01 9.00350e-01 9.18926e+03 7.75713e+01
1.87527e-01 8.98789e-01 8.80990e+03 7.31974e+01
1.92516e-01 9.00648e-01 8.24000e+03 6.73015e+01
1.97527e-01 8.97691e-01 7.94068e+03 6.38748e+01
2.02560e-01 8.99465e-01 7.66707e+03 6.01216e+01
2.07562e-01 9.00993e-01 7.30429e+03 5.76263e+01
2.12546e-01 9.00642e-01 7.02434e+03 5.37480e+01
2.17549e-01 9.00044e-01 6.84285e+03 5.20304e+01
2.22549e-01 9.00727e-01 6.47643e+03 4.83479e+01
2.27536e-01 8.99845e-01 6.21277e+03 4.65446e+01
2.32489e-01 8.99812e-01 6.00000e+03 4.42562e+01
2.37507e-01 8.99322e-01 5.67569e+03 4.11560e+01
2.42555e-01 8.99210e-01 5.50173e+03 3.96663e+01
2.47544e-01 8.99354e-01 5.34036e+03 3.81404e+01
2.52517e-01 9.00165e-01 5.06098e+03 3.63446e+01
2.57465e-01 9.01530e-01 4.92320e+03 3.46739e+01
2.62484e-01 8.99511e-01 4.73881e+03 3.30268e+01
2.67502e-01 9.00592e-01 4.53739e+03 3.15483e+01
2.72472e-01 9.00039e-01 4.38103e+03 3.06036e+01
2.77477e-01 9.00091e-01 4.21515e+03 2.88347e+01
2.82543e-01 8.99207e-01 4.09510e+03 2.78826e+01
2.87542e-01 9.00048e-01 3.94322e+03 2.70059e+01
2.92513e-01 8.99607e-01 3.82677e+03 2.59146e+01
2.97531e-01 9.00256e-01 3.65397e+03 2.47268e+01
3.02494e-01 9.00430e-01 3.57079e+03 2.42541e+01
3.07465e-01 9.00026e-01 3.41794e+03 2.29539e+01
3.12500e-01 8.99338e-01 3.25799e+03 2.18960e+01
3.17507e-01 9.00491e-01 3.16159e+03 2.14101e+01
3.22513e-01 8.99769e-01 3.05632e+03 2.04850e+01
3.27568e-01 8.99449e-01 2.97907e+03 1.98826e+01
3.32547e-01 9.00534e-01 2.85571e+03 1.93643e+01
3.37503e-01 9.00021e-01 2.78533e+03 1.87101e+01
3.42515e-01 9.00337e-01 2.68739e+03 1.80051e+01
3.47516e-01 8.99453e-01 2.61806e+03 1.76106e+01
3.52489e-01 9.00383e-01 2.50377e+03 1.69702e+01
3.57475e-01 8.99311e-01 2.44569e+03 1.64842e+01
3.62518e-01 9.00724e-01 2.36699e+03 1.58574e+01
3.67526e-01 9.00116e-01 2.27896e+03 1.56043e+01
3.72516e-01 9.00199e-01 2.19839e+03 1.49558e+01
3.77519e-01 8.99964e-01 2.13531e+03 1.46050e+01
3.82535e-01 9.00110e-01 2.07094e+03 1.41243e+01
3.87535e-01 9.00180e-01 2.01406e+03 1.38923e+01
3.92530e-01 8.99656e-01 1.94719e+03 1.34173e+01
3.97539e-01 8.99603e-01 1.89491e+03 1.31203e+01
4.02506e-01 8.99411e-01 1.83626e+03 1.28470e+01
4.07491e-01 8.99717e-01 1.77830e+03 1.24202e+01
4.12516e-01 9.00474e-01 1.71568e+03 1.20985e+01
4.17518e-01 9.00711e-01 1.67061e+03 1.18280e+01
4.22507e-01 8.99527e-01 1.61406e+03 1.15434e+01
4.27508e-01 9.00351e-01 1.55965e+03 1.12256e+01
4.32509e-01 9.00299e-01 1.51895e+03 1.10066e+01
4.37515e-01 8.99680e-01 1.45968e+03 1.06882e+01
4.42506e-01 8.99596e-01 1.43143e+03 1.05417e+01
4.47504e-01 8.99784e-01 1.38381e+03 1.02337e+01
4.52502e-01 8.99776e-01 1.34862e+03 1.00627e+01
4.57495e-01 9.00551e-01 1.31835e+03 9.86896e+00
4.62511e-01 9.00125e-01 1.27233e+03 9.58847e+00
4.67499e-01 9.00642e-01 1.22038e+03 9.44347e+00
4.72483e-01 8.99530e-01 1.18656e+03 9.17978e+00
4.77513e-01 9.00471e-01 1.14982e+03 8.97712e+00
4.82523e-01 8.99815e-01 1.10732e+03 8.83500e+00
4.87532e-01 8.99669e-01 1.09737e+03 8.65381e+00
4.92548e-01 8.99586e-01 1.07113e+03 8.55288e+00
4.97521e-01 9.00615e-01 1.02609e+03 8.36819e+00
5.02507e-01 8.99868e-01 1.00897e+03 8.22409e+00
5.07502e-01 8.99605e-01 9.75697e+02 8.05860e+00
5.12500e-01 9.00445e-01 9.45983e+02 7.90450e+00
5.17501e-01 8.99746e-01 9.20685e+02 7.76631e+00
5.22509e-01 9.00038e-01 8.88952e+02 7.61398e+00
5.27544e-01 8.99848e-01 8.46322e+02 7.41385e+00
5.32565e-01 8.99968e-01 8.33240e+02 7.36005e+00
5.37543e-01 9.00088e-01 8.14204e+02 7.26467e+00
5.42522e-01 9.00160e-01 7.89835e+02 7.11492e+00
5.47497e-01 9.00364e-01 7.76786e+02 7.07320e+00
5.52490e-01 8.99885e-01 7.38985e+02 6.84544e+00
5.57492e-01 8.99754e-01 7.42866e+02 6.85401e+00
5.62491e-01 9.00116e-01 7.16543e+02 6.67507e+00
5.67497e-01 8.99950e-01 6.80490e+02 6.59020e+00
5.72520e-01 8.99600e-01 6.49526e+02 6.39699e+00
5.77538e-01 9.00426e-01 6.43250e+02 6.39695e+00
5.82519e-01 9.00278e-01 6.35501e+02 6.30430e+00
5.87513e-01 8.99821e-01 6.07293e+02 6.19308e+00
5.92502e-01 9.00186e-01 5.93410e+02 6.12530e+00
5.97510e-01 8.99901e-01 5.83912e+02 6.01375e+00
6.02513e-01 8.99836e-01 5.69711e+02 5.98824e+00
6.07494e-01 8.99695e-01 5.42746e+02 5.85209e+00
6.12497e-01 8.99856e-01 5.37828e+02 5.80260e+00
6.17520e-01 9.00127e-01 5.12136e+02 5.67758e+00
6.22518e-01 9.00334e-01 5.02272e+02 5.66384e+00
6.27505e-01 9.00178e-01 4.93769e+02 5.55685e+00
6.32519e-01 8.99834e-01 4.75996e+02 5.49525e+00
6.37522e-01 9.00117e-01 4.53861e+02 5.41151e+00
6.42493e-01 9.00104e-01 4.47663e+02 5.39043e+00
6.47477e-01 8.99597e-01 4.40837e+02 5.29110e+00
6.52493e-01 8.99814e-01 4.26155e+02 5.22917e+00
6.57504e-01 8.99830e-01 4.15348e+02 5.17511e+00
6.62513e-01 9.00195e-01 4.07849e+02 5.11364e+00
6.67522e-01 9.00305e-01 3.93225e+02 5.05577e+00
6.72517e-01 9.00096e-01 3.84244e+02 5.00599e+00
6.77508e-01 9.00234e-01 3.69990e+02 4.94460e+00
6.82508e-01 8.99916e-01 3.56905e+02 4.87635e+00
6.87512e-01 8.99920e-01 3.55751e+02 4.84350e+00
6.92512e-01 9.00063e-01 3.46962e+02 4.79501e+00
6.97524e-01 8.99302e-01 3.27144e+02 4.70650e+00
