136 5
k mu power error
5.17502e-01 9.83948e-02 1.71912e+03 9.68558e+00
5.22527e-01 9.92687e-02 1.67388e+03 9.51512e+00
5.27535e-01 1.01232e-01 1.67318e+03 9.23419e+00
5.32556e-01 1.00207e-01 1.63600e+03 9.21303e+00
5.37529e-01 9.98437e-02 1.63323e+03 9.13938e+00
5.42530e-01 9.84139e-02 1.60251e+03 9.00845e+00
5.47518e-01 1.01396e-01 1.59878e+03 8.88951e+00
5.52492e-01 1.00561e-01 1.56451e+03 8.62508e+00
5.57479e-01 1.00892e-01 1.54747e+03 8.65347e+00
5.62478e-01 9.78606e-02 1.54294e+03 8.48678e+00
5.67498e-01 9.96344e-02 1.52660e+03 8.48057e+00
5.72498e-01 1.00504e-01 1.50720e+03 8.16389e+00
5.77521e-01 1.00923e-01 1.48484e+03 8.15971e+00
5.82525e-01 9.93472e-02 1.48224e+03 8.07283e+00
5.87536e-01 9.90437e-02 1.46079e+03 8.03167e+00
5.92539e-01 1.00495e-01 1.44495e+03 7.87618e+00
5.97527e-01 1.00748e-01 1.42369e+03 7.69306e+00
6.02515e-01 1.00704e-01 1.40597e+03 7.70979e+00
6.07486e-01 9.88848e-02 1.40845e+03 7.62625e+00
6.12486e-01 9.92492e-02 1.38586e+03 7.55984e+00
6.17501e-01 1.00720e-01 1.37797e+03 7.32501e+00
6.22510e-01 1.00548e-01 1.34740e+03 7.31357e+00
6.27514e-01 9.91016e-02 1.33899e+03 7.19280e+00
6.32535e-01 9.93247e-02 1.33615e+03 7.21543e+00
6.37544e-01 1.00000e-01 1.31449e+03 7.06108e+00
6.42510e-01 1.01058e-01 1.30253e+03 6.97455e+00
6.47481e-01 1.00365e-01 1.29201e+03 6.92570e+00
6.52483e-01 9.94619e-02 1.27441e+03 6.82906e+00
6.57486e-01 9.91912e-02 1.27409e+03 6.83810e+00
6.62493e-01 1.00646e-01 1.24606e+03 6.60970e+00
6.67515e-01 1.00794e-01 1.23068e+03 6.56588e+00
6.72519e-01 9.92133e-02 1.23429e+03 6.55388e+00
6.77516e-01 9.92621e-02 1.21842e+03 6.51349e+00
6.82536e-01 9.98403e-02 1.20216e+03 6.38692e+00
6.87526e-01 1.01159e-01 1.19481e+03 6.30800e+00
6.92512e-01 1.00088e-01 1.17569e+03 6.26561e+00
6.97514e-01 9.97168e-02 1.16527e+03 6.19506e+00
2.35945e-02 3.25844e-01 6.81086e+04 4.21135e+03
2.78582e-02 3.27432e-01 5.58303e+04 3.25298e+03
3.30687e-02 3.05106e-01 4.97263e+04 1.94117e+03
3.79251e-02 3.02643e-01 4.01659e+04 1.24863e+03
4.26605e-02 2.65047e-01 3.70933e+04 1.15841e+03
4.76095e-02 3.34817e-01 3.59436e+04 1.00941e+03
5.25219e-02 3.01276e-01 3.08550e+04 8.51968e+02
5.78174e-02 3.02456e-01 2.86028e+04 6.42847e+02
6.25856e-02 2.90017e-01 2.92692e+04 6.02067e+02
6.74636e-02 2.96676e-01 2.67487e+04 5.35042e+02
7.24929e-02 3.14699e-01 2.49605e+04 4.68557e+02
7.75859e-02 2.90096e-01 2.17444e+04 4.06293e+02
8.23943e-02 3.08289e-01 2.02265e+04 3.22019e+02
8.75332e-02 2.84455e-01 1.85646e+04 2.78635e+02
9.26467e-02 3.12102e-01 1.72249e+04 2.62665e+02
9.75814e-02 3.03066e-01 1.60006e+04 2.40270e+02
1.02752e-01 2.99463e-01 1.45455e+04 2.02069e+02
1.07570e-01 2.95074e-01 1.37638e+04 1.81187e+02
1.12481e-01 2.92444e-01 1.31574e+04 1.68517e+02
1.17580e-01 3.11352e-01 1.25532e+04 1.54818e+02
1.22563e-01 2.97532e-01 1.22577e+04 1.55481e+02
1.27527e-01 3.01645e-01 1.15282e+04 1.28514e+02
1.32511e-01 2.93577e-01 1.11240e+04 1.23928e+02
1.37483e-01 3.04889e-01 1.06634e+04 1.16585e+02
1.42518e-01 3.00839e-01 9.96663e+03 1.07459e+02
1.47648e-01 3.02018e-01 9.20463e+03 9.67826e+01
1.52544e-01 2.97164e-01 8.70866e+03 8.67560e+01
1.57538e-01 2.91242e-01 8.30022e+03 8.28454e+01
1.62499e-01 3.09341e-01 7.96166e+03 7.87080e+01
1.67523e-01 2.97895e-01 7.74166e+03 7.53831e+01
1.72605e-01 3.02028e-01 7.30622e+03 6.72880e+01
1.77512e-01 2.94073e-01 7.01930e+03 6.46673e+01
1.82493e-01 3.03803e-01 6.81238e+03 6.11274e+01
1.87501e-01 3.02361e-01 6.67010e+03 6.00726e+01
1.92579e-01 2.99829e-01 6.46461e+03 5.63145e+01
1.97536e-01 3.00537e-01 6.14311e+03 5.19459e+01
2.02526e-01 2.92087e-01 5.92118e+03 4.98517e+01
2.07519e-01 3.06065e-01 5.72436e+03 4.84220e+01
2.12520e-01 3.00040e-01 5.53276e+03 4.60675e+01
2.17600e-01 3.01335e-01 5.28598e+03 4.26669e+01
2.22553e-01 2.95845e-01 5.10800e+03 4.06249e+01
2.27543e-01 3.00646e-01 4.96728e+03 3.96489e+01
2.32490e-01 3.03956e-01 4.80840e+03 3.84974e+01
2.37514e-01 2.98397e-01 4.62796e+03 3.62936e+01
2.42536e-01 3.00193e-01 4.48643e+03 3.39488e+01
2.47556e-01 2.94886e-01 4.43140e+03 3.34141e+01
2.52528e-01 3.04364e-01 4.28632e+03 3.26373e+01
2.57491e-01 3.00909e-01 4.16443e+03 3.14968e+01
2.62560e-01 3.01013e-01 4.02287e+03 2.95591e+01
2.67507e-01 2.97547e-01 3.95385e+03 2.87505e+01
2.72463e-01 2.99391e-01 3.81991e+03 2.78309e+01
2.77457e-01 3.04010e-01 3.74640e+03 2.70963e+01
2.82516e-01 2.98548e-01 3.57286e+03 2.59411e+01
2.87490e-01 2.99728e-01 3.46645e+03 2.47398e+01
2.92462e-01 2.96478e-01 3.47740e+03 2.42001e+01
2.97530e-01 3.02905e-01 3.33718e+03 2.33870e+01
3.02519e-01 3.00666e-01 3.26410e+03 2.32442e+01
3.07542e-01 3.00265e-01 3.14395e+03 2.18484e+01
3.12521e-01 2.98738e-01 3.09265e+03 2.11571e+01
3.17501e-01 2.97585e-01 3.03270e+03 2.09119e+01
3.22476e-01 3.03619e-01 2.94617e+03 2.03095e+01
3.27510e-01 2.99338e-01 2.85026e+03 1.96399e+01
3.32504e-01 3.01111e-01 2.81204e+03 1.89544e+01
3.37471e-01 2.96225e-01 2.75448e+03 1.84486e+01
3.42514e-01 3.01488e-01 2.69523e+03 1.80068e+01
3.47538e-01 3.01809e-01 2.64546e+03 1.78431e+01
3.52539e-01 2.99462e-01 2.57063e+03 1.72635e+01
3.57496e-01 2.99593e-01 2.54345e+03 1.66117e+01
3.62528e-01 2.97818e-01 2.46473e+03 1.62080e+01
3.67503e-01 3.03104e-01 2.38731e+03 1.60534e+01
3.72476e-01 2.99639e-01 2.34051e+03 1.55915e+01
3.77513e-01 3.00792e-01 2.31158e+03 1.50238e+01
3.82527e-01 2.97595e-01 2.27879e+03 1.47011e+01
3.87537e-01 2.99949e-01 2.22336e+03 1.45430e+01
3.92541e-01 3.02346e-01 2.15396e+03 1.41446e+01
3.97568e-01 2.99353e-01 2.13722e+03 1.39909e+01
4.02491e-01 2.99412e-01 2.07198e+03 1.34438e+01
4.07460e-01 2.96958e-01 2.05291e+03 1.32597e+01
